constructor_name,races,points,avg_finish
AFM,4,0.0,13.75
AGS,36,2.0,12.916666666666666
ATS,95,7.0,13.2
Alfa Romeo,398,360.0,12.293969849246231
AlphaTauri,158,304.0,12.240506329113924
Alpine F1 Team,175,498.0,11.12
Alta,6,0.0,13.5
Andrea Moda,1,0.0,19.0
Arrows,473,142.0,11.913319238900634
Aston Butterworth,1,0.0,16.0
Aston Martin,182,485.0,11.021978021978022
BAR,225,227.0,10.933333333333334
BMW,6,0.0,16.0
BMW Sauber,139,308.0,8.827338129496402
BRM,459,537.5,10.193899782135077
BRM-Ford,1,0.0,8.0
BRP,18,11.0,11.555555555555555
Behra-Porsche,2,0.0,11.0
Benetton,465,861.5,8.627956989247313
Boro,4,0.0,13.75
Brabham,497,631.0,10.55533199195171
Brabham-Alfa Romeo,40,18.0,12.075
Brabham-BRM,37,13.0,11.216216216216216
Brabham-Climax,89,78.0,10.112359550561798
Brabham-Ford,47,68.0,9.127659574468085
Brabham-Repco,72,175.0,8.194444444444445
Brawn,34,172.0,4.882352941176471
Bugatti,1,0.0,17.0
Caterham,97,0.0,16.79381443298969
Christensen,1,0.0,18.0
Coloni,8,0.0,12.875
Connaught,36,17.0,12.555555555555555
Cooper,84,52.0,10.095238095238095
Cooper-ATS,1,0.0,15.0
Cooper-Alfa Romeo,1,0.0,15.0
Cooper-BRM,20,20.0,10.8
Cooper-Borgward,3,0.0,13.0
Cooper-Castellotti,5,3.0,11.8
Cooper-Climax,224,336.5,8.928571428571429
Cooper-Ferrari,2,0.0,11.0
Cooper-Maserati,123,83.0,10.707317073170731
Cooper-OSCA,1,0.0,11.0
Dallara,93,15.0,11.78494623655914
De Tomaso,9,0.0,15.555555555555555
De Tomaso-Alfa Romeo,1,0.0,19.0
Deidt,5,10.0,7.2
Derrington,1,0.0,16.0
Dunn,1,0.0,13.0
EMW,1,0.0,20.0
ENB,1,0.0,16.0
ERA,10,0.0,11.5
Eagle-Climax,11,4.0,12.272727272727273
Eagle-Weslake,20,13.0,13.15
Embassy Hill,17,3.0,13.0
Emeryson,3,0.0,14.666666666666666
Ensign,88,19.0,12.806818181818182
Epperly,13,44.0,5.923076923076923
Euro Brun,15,0.0,14.933333333333334
Ewing,1,0.0,17.0
Ferguson,2,0.0,19.0
Ferrari,2250,11091.27,7.052
Fittipaldi,95,44.0,11.473684210526315
Fondmetal,13,0.0,13.692307692307692
Footwork,142,25.0,12.767605633802816
Force India,399,1098.0,11.030075187969924
Forti,33,0.0,13.878787878787879
Frazer Nash,3,3.0,11.0
Gilby,3,0.0,17.333333333333332
Gordini,84,25.0,11.202380952380953
HRT,62,0.0,17.838709677419356
HWM,34,2.0,12.970588235294118
Haas F1 Team,364,292.0,14.096153846153847
Hall,1,0.0,19.0
Hesketh,56,48.0,11.071428571428571
Honda,147,156.0,11.129251700680273
Iso Marlboro,37,6.0,12.675675675675675
JBW,2,0.0,12.0
Jaguar,159,49.0,12.377358490566039
Jordan,431,291.0,11.505800464037122
Klenk,1,0.0,14.0
Kojima,2,0.0,11.0
Kurtis Kraft,141,128.0,10.645390070921986
Kuzma,30,21.0,11.7
LDS,4,0.0,14.75
LDS-Alfa Romeo,1,0.0,13.0
LDS-Climax,1,0.0,9.0
LEC,2,0.0,13.5
Lambo,4,0.0,12.0
Lancia,11,9.0,12.0
Langley,1,0.0,16.0
Larrousse,142,22.0,12.330985915492958
Lesovsky,10,10.0,11.3
Leyton House,40,8.0,13.2
Ligier,486,388.0,10.878600823045268
Lola,112,27.0,12.8125
Lotus,57,0.0,16.42105263157895
Lotus F1,138,706.0,10.094202898550725
Lotus-BRM,98,29.0,12.010204081632653
Lotus-Climax,174,281.0,9.649425287356323
Lotus-Ford,122,209.0,9.21311475409836
Lotus-Maserati,1,0.0,15.0
Lotus-Pratt &amp; Whitney,2,0.0,10.5
Lyncar,1,0.0,17.0
MF1,21,0.0,13.761904761904763
Manor Marussia,68,1.0,16.264705882352942
March,353,148.0,12.056657223796034
March-Alfa Romeo,9,0.0,14.555555555555555
March-Ford,34,37.0,11.323529411764707
Marchese,2,0.0,15.5
Martini,5,0.0,11.2
Marussia,95,2.0,17.042105263157893
Maserati,377,313.14,10.106100795755967
Matra,67,54.0,9.791044776119403
